Date,Country,City,Status,AQI Value
1/2/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,147
1/9/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,149
1/16/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,134
1/23/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,115
1/30/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,143
2/6/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,143
2/13/2025,Nepal,Kathmandu,Unhealthy,157
2/20/2025,Nepal,Kathmandu,Unhealthy,163
2/27/2025,Nepal,Kathmandu,Unhealthy,159
3/6/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,129
3/13/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,148
3/20/2025,Nepal,Kathmandu,Unhealthy,154
3/27/2025,Nepal,Kathmandu,Unhealthy,184
4/3/2025,Nepal,Kathmandu,Hazardous,352
3/10/2025,Nepal,Kathmandu,Unhealthy,169
3/11/2025,Nepal,Kathmandu,Unhealthy,169
3/12/2025,Nepal,Kathmandu,Unhealthy,166
3/13/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,132
3/14/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,122
3/15/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,121
3/16/2025,Nepal,Kathmandu,Moderate ,98
3/17/2025,Nepal,Kathmandu,Moderate ,89
3/18/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,107
3/19/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,138
3/20/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,142
3/21/2025,Nepal,Kathmandu,Unhealthy,154
3/22/2025,Nepal,Kathmandu,Moderate ,83
3/23/2025,Nepal,Kathmandu,Moderate ,91
3/24/2025,Nepal,Kathmandu,Unhealthy for Sensitive Groups,129
3/25/2025,Nepal,Kathmandu,Unhealthy,155
3/26/2025,Nepal,Kathmandu,Unhealthy,176
3/27/2025,Nepal,Kathmandu,Unhealthy,187
3/28/2025,Nepal,Kathmandu,Unhealthy,168
3/29/2025,Nepal,Kathmandu,Unhealthy,183
3/30/2025,Nepal,Kathmandu,Very Unhealthy,211
3/31/2025,Nepal,Kathmandu,Very Unhealthy,232
4/1/2025,Nepal,Kathmandu,Very Unhealthy,223
4/2/2025,Nepal,Kathmandu,Very Unhealthy,281
4/3/2025,Nepal,Kathmandu,Very Unhealthy,251
4/4/2025,Nepal,Kathmandu,Unhealthy,190
4/5/2025,Nepal,Kathmandu,Very Unhealthy,212
4/6/2025,Nepal,Kathmandu,Unhealthy,200
4/7/2025,Nepal,Kathmandu,Very Unhealthy,245
4/8/2025,Nepal,Kathmandu,Unhealthy,195
4/9/2025,Nepal,Kathmandu,Unhealthy,183
4/10/2025,Nepal,Kathmandu,Unhealthy,162
